,Text,Type
608,remote procedure call,SKILL
609,serverless   task processing,SKILL
610,woopra,SKILL
611,combinatorial optimization,SKILL
612,fabric,SKILL
613,compressed sensing,SKILL
614,hierarchical database model,SKILL
615,server,SKILL
616,wavelength-division multiplexing,SKILL
617,amazon eks,SKILL
618,ir evaluation,SKILL
619,visual studio,SKILL
620,immutable js,SKILL
621,grunt,SKILL
622,search as a service,SKILL
623,floating point,SKILL
624,browserify,SKILL
625,http,SKILL
626,disqus,SKILL
627,critical path method,SKILL
628,mobile push messaging,SKILL
629,named entity,SKILL
630,static timing analysis,SKILL
631,ethereum,SKILL
632,git,SKILL
633,aws cloudformation,SKILL
634,framework,SKILL
635,airflow,SKILL
636,mongodb atlas,SKILL
637,secret sharing,SKILL
638,prognostics,SKILL
639,propagation delay,SKILL
640,data modeling,SKILL
641,spatial frequency,SKILL
642,network simulation,SKILL
643,image quality,SKILL
644,denial-of-service attack,SKILL
645,cloud ide,SKILL
646,port computer networking,SKILL
647,surge,SKILL
648,linear programming,SKILL
649,database tools,SKILL
650,communications system,SKILL
651,rabbitmq,SKILL
652,clubhouse,SKILL
653,rspec,SKILL
654,sqlalchemy,SKILL
655,highcharts,SKILL
656,body text,SKILL
657,handover,SKILL
658,google cloud storage,SKILL
659,google analytics,SKILL
660,code review,SKILL
661,mapping apis,SKILL
662,node.js,SKILL
663,php,SKILL
664,hybrid algorithm,SKILL
665,software agent,SKILL
666,source code management desktop apps,SKILL
667,natural deduction,SKILL
668,nim,SKILL
669,thread computing,SKILL
670,zeplin,SKILL
671,google sheets,SKILL
672,apache maven,SKILL
673,computational geometry,SKILL
674,fedora,SKILL
675,robustness computer science,SKILL
676,nuclear engineering,SKILL
677,phpstorm,SKILL
678,eclipse,SKILL
679,mesosphere,SKILL
680,front and back ends,SKILL
681,motion estimation,SKILL
682,fault tolerance,SKILL
683,machine learning as a service,SKILL
684,awesome lists,SKILL
685,breadth-first search,SKILL
686,computability theory,SKILL
687,certificate,SKILL
688,redis hosting,SKILL
689,haproxy,SKILL
690,google app maker,SKILL
691,scaleway,SKILL
692,self organization,SKILL
693,laravel forge,SKILL
694,laravel homestead,SKILL
695,compass,SKILL
696,babel,SKILL
697,sensor array,SKILL
698,browsersync,SKILL
699,customer analytics,SKILL
700,angular,SKILL
701,qunit,SKILL
702,elm,SKILL
703,etcd,SKILL
704,data pre processing,SKILL
705,language model,SKILL
706,deep learning,SKILL
707,traffic model,SKILL
708,sqlite,SKILL
709,couchdb,SKILL
710,selenium,SKILL
711,secure multi-party computation,SKILL
712,azure storage,SKILL
713,composite number,SKILL
714,tailwind css,SKILL
715,frequency domain,SKILL
716,redux saga,SKILL
717,electroencephalography,SKILL
718,phpunit,SKILL
719,postgresql as a service,SKILL
720,protractor,SKILL
721,marionette,SKILL
722,electronic data interchange,SKILL
723,persistence computer science,SKILL
724,classifier linguistics,SKILL
725,redux-saga,SKILL
726,bayesian probability,SKILL
727,cloudflare,SKILL
728,cross correlation,SKILL
729,bot,SKILL
730,rust,SKILL
731,javascript framework components,SKILL
732,read write memory,SKILL
733,python,SKILL
734,independent component analysis,SKILL
735,data analysis,SKILL
736,economic policy,SKILL
737,ibm db2,SKILL
738,loggly,SKILL
739,power control,SKILL
740,netlify,SKILL
741,celery,SKILL
742,java,SKILL
743,google cloud dns,SKILL
744,cloud monitoring,SKILL
745,semantic data model,SKILL
746,languages,SKILL
747,intuitionistic logic,SKILL
748,question answering,SKILL
749,adaboost,SKILL
750,mailchimp,SKILL
751,onsen ui,SKILL
752,relay,SKILL
753,zookeeper,SKILL
754,external data representation,SKILL
755,gradient descent,SKILL
756,pushdown automaton,SKILL
757,tree structure,SKILL
758,discrete logarithm,SKILL
759,computation,SKILL
760,linode,SKILL
761,cloud content management system,SKILL
762,error concealment,SKILL
763,react navigation,SKILL
764,wagtail,SKILL
765,codeship,SKILL
766,conditional random field,SKILL
767,markov chain,SKILL
768,business administration,SKILL
769,visual basic,SKILL
770,remote procedure call rpc,SKILL
771,hhvm hiphop virtual machine,SKILL
772,knockoutjs,SKILL
773,regular expression,SKILL
774,flyway,SKILL
775,kong,SKILL
776,workflow manager,SKILL
777,message passing,SKILL
778,linear search,SKILL
779,link layer,SKILL
780,multilevel model,SKILL
781,vuetify,SKILL
782,heroku,SKILL
783,nosql database as a service,SKILL
784,neovim,SKILL
785,shared resource,SKILL
786,semantic computing,SKILL
787,computer network,SKILL
788,material ui,SKILL
789,autonomic computing,SKILL
790,recurly,SKILL
791,active appearance model,SKILL
792,certificate authority,SKILL
793,funnel analysis analytics,SKILL
794,impala,SKILL
795,dynamic range,SKILL
796,boolean algebra,SKILL
797,hidden markov model,SKILL
798,aerospike,SKILL
799,hugo,SKILL
800,support,SKILL
801,confluence,SKILL
802,shippable,SKILL
803,rackspace cloud servers,SKILL
804,computational mathematics,SKILL
805,scientometrics,SKILL
806,codecov,SKILL
807,payments,SKILL
808,performance prediction,SKILL
809,customer support chat,SKILL
810,rethinkdb,SKILL
811,load balancer   reverse proxy,SKILL
812,wavefront,SKILL
813,mobile error monitoring,SKILL
814,beta testing / mobile app distribution,SKILL
815,canonical model,SKILL
816,business process,SKILL
817,self hosted blogging / cms,SKILL
818,slack,SKILL
819,access control,SKILL
820,website builder,SKILL
821,automatic taxonomy induction,SKILL
822,braintree,SKILL
823,finite-state machine,SKILL
824,computer multitasking,SKILL
825,query string,SKILL
826,varnish,SKILL
827,multisearch,SKILL
828,network interface,SKILL
829,apache mesos,SKILL
830,cassandra,SKILL
831,macos,SKILL
832,keras,SKILL
833,user management and authentication,SKILL
834,biochemical engineering,SKILL
835,issue tracking,SKILL
836,mobile ui frameworks,SKILL
837,karma,SKILL
838,google cloud dataflow,SKILL
839,buffer overflow,SKILL
840,google cloud functions,SKILL
841,multiprocessing,SKILL
842,icon font,SKILL
843,amazon ec2 container service,SKILL
844,uikit,SKILL
845,chartbeat,SKILL
846,contextual query language,SKILL
847,gitkraken,SKILL
848,image sensor,SKILL
849,documentation as a service & tools,SKILL
850,time–frequency analysis,SKILL
851,engagement/lifecycle marketing,SKILL
852,statuscake,SKILL
853,concurrency control,SKILL
854,sensor fusion,SKILL
855,continuous deployment,SKILL
856,high-level synthesis,SKILL
857,cognitive neuroscience of visual object recognition,SKILL
858,navigation system,SKILL
859,search engine,SKILL
860,multivariate statistics,SKILL
861,eureka,SKILL
862,traefik,SKILL
863,dynamic source routing,SKILL
864,google compute engine,SKILL
865,recursion,SKILL
866,immutable.js,SKILL
867,bayesian network,SKILL
868,codenvy,SKILL
869,api.ai,SKILL
870,mode,SKILL
871,dropwizard,SKILL
872,shrinkage,SKILL
873,adobe illustrator,SKILL
874,security,SKILL
875,kanban tool,SKILL
876,storybook,SKILL
877,cross-correlation,SKILL
878,synchronization,SKILL
879,css pre-processors   extensions,SKILL
880,back office,SKILL
881,commerce,SKILL
882,lumen,SKILL
883,multimedia,SKILL
884,cellular network,SKILL
885,hilbert–huang transform,SKILL
886,big data tools,SKILL
887,spatial analysis,SKILL
888,front end frameworks,SKILL
889,maxcdn,SKILL
890,sma*,SKILL
891,conductor,SKILL
892,haptic technology,SKILL
893,cakephp,SKILL
894,github pages,SKILL
895,static random access memory,SKILL
896,authentication,SKILL
897,symfony,SKILL
898,hash function,SKILL
899,time tracking,SKILL
900,typescript,SKILL
901,heroku postgres,SKILL
902,internet privacy,SKILL
903,google cloud vision api,SKILL
904,finite state machine,SKILL
905,real time computing,SKILL
906,folksonomy,SKILL
907,mongoose,SKILL
908,aws fargate,SKILL
909,bootstrap,SKILL
910,subject access,SKILL
911,multi-user,SKILL
912,cocoa touch ios,SKILL
913,mvvmcross,SKILL
914,multidimensional analysis,SKILL
915,electronic document,SKILL
916,xml,SKILL
917,router,SKILL
918,network model,SKILL
919,puppet labs,SKILL
920,octopus deploy,SKILL
921,pouchdb,SKILL
922,adobe photoshop,SKILL
923,beanstalkd,SKILL
924,tabu search,SKILL
925,beanstalk,SKILL
926,netbeans ide,SKILL
927,modular design,SKILL
928,android,SKILL
929,aurelia,SKILL
930,application utilities,SKILL
931,opencv,SKILL
932,rule-based system,SKILL
933,local search optimization,SKILL
934,mina,SKILL
935,woocommerce,SKILL
936,dimensionality reduction,SKILL
937,heap data structure,SKILL
938,cloud storage,SKILL
939,sensor tower,SKILL
940,query expansion,SKILL
941,dnsimple,SKILL
942,azure websites,SKILL
943,manufacturing engineering,SKILL
944,ansible,SKILL
945,precision and recall,SKILL
946,expectation–maximization algorithm,SKILL
947,git tools,SKILL
948,cranfield experiments,SKILL
949,c3 js,SKILL
950,maximum a posteriori estimation,SKILL
951,case based reasoning,SKILL
952,knowledge base,SKILL
953,godaddy,SKILL
954,data cube,SKILL
955,signal processing,SKILL
956,postgresql,SKILL
957,aws codepipeline,SKILL
958,system on a chip,SKILL
959,mesh networking,SKILL
960,boosting machine learning,SKILL
961,socket io,SKILL
962,create react app,SKILL
963,anomaly detection,SKILL
964,analysis of covariance,SKILL
965,clojure,SKILL
966,quantum algorithm,SKILL
967,chrome extension,SKILL
968,platform as a service,SKILL
969,cluster analysis,SKILL
970,spreadsheets online,SKILL
971,zendesk,SKILL
972,code climate,SKILL
973,natural language processing,SKILL
974,algorithm,SKILL
975,web crawler,SKILL
976,jira,SKILL
977,index term,SKILL
978,apache cordova,SKILL
979,php mvc,SKILL
980,redash,SKILL
981,zepto,SKILL
982,resque,SKILL
983,forensic engineering,SKILL
984,wireless ad hoc network,SKILL
985,realm,SKILL
986,integrated circuit design,SKILL
987,aws opsworks,SKILL
988,testing,SKILL
989,correctness,SKILL
990,js build tools   js task runners,SKILL
991,specification language,SKILL
992,histogram,SKILL
993,shell,SKILL
994,wireless sensor network,SKILL
995,natural language,SKILL
996,linear regression,SKILL
997,scaffold,SKILL
998,sequelize,SKILL
999,hexo,SKILL
1000,lxd,SKILL
1001,ngrok,SKILL
1002,engagement lifecycle marketing,SKILL
1003,notepad++,SKILL
1004,dc os,SKILL
1005,supercomputer,SKILL
1006,jruby,SKILL
1007,android sdk,SKILL
1008,amazon cloudwatch,SKILL
1009,arboriculture,SKILL
1010,cross-platform mobile tools,SKILL
1011,rule of thumb,SKILL
1012,snowflake,SKILL
1013,noise measurement,SKILL
1014,algorithm design,SKILL
1015,beta testing   mobile app distribution,SKILL
1016,information model,SKILL
1017,parse,SKILL
1018,skype,SKILL
1019,metamodeling,SKILL
1020,peer to peer,SKILL
1021,analysis of algorithms,SKILL
1022,program synthesis,SKILL
1023,rubocop,SKILL
1024,google drive,SKILL
1025,gunicorn,SKILL
1026,modal logic,SKILL
1027,time sharing,SKILL
1028,bag of words model,SKILL
1029,search retrieve via url,SKILL
1030,human–computer information retrieval,SKILL
1031,k-nearest neighbors algorithm,SKILL
1032,gauges,SKILL
1033,material design lite,SKILL
1034,secure multi party computation,SKILL
1035,buddy,SKILL
1036,amazon elasticache,SKILL
1037,front end package manager,SKILL
1038,online algorithm,SKILL
1039,phaser,SKILL
1040,support vector machine,SKILL
1041,wireless,SKILL
1042,multi-objective optimization,SKILL
1043,web document,SKILL
1044,context free language,SKILL
1045,open source cloud,SKILL
1046,intellij idea,SKILL
1047,generalized linear model,SKILL
1048,financial system,SKILL
1049,state diagram,SKILL
1050,capistrano,SKILL
1051,bamboo,SKILL
1052,jsdoc,SKILL
1053,matched filter,SKILL
1054,cryptography,SKILL
1055,raspberry pi,SKILL
1056,optical recording,SKILL
1057,recommender system,SKILL
1058,missing data,SKILL
1059,swagger ui,SKILL
1060,digital radio,SKILL
1061,loader io,SKILL
1062,mobile telephony,SKILL
1063,rxjs,SKILL
1064,centos,SKILL
1065,cdnjs,SKILL
1066,homebridge,SKILL
1067,wordplate,SKILL
1068,package manager,SKILL
1069,gitlab ci,SKILL
1070,corner detection,SKILL
1071,apache flink,SKILL
1072,beta by crashlytics,SKILL
1073,hbase,SKILL
1074,multi objective optimization,SKILL
1075,package managers,SKILL
1076,testflight,SKILL
1077,document classification,SKILL
1078,feature extraction,SKILL
1079,virtual machine platforms & containers,SKILL
1080,self-hosted blogging   cms,SKILL
1081,active database,SKILL
1082,ground truth,SKILL
1083,gaussian process,SKILL
1084,clicky,SKILL
1085,octodns,SKILL
1086,machine learning,SKILL
1087,webflow,SKILL
1088,aerospace engineering,SKILL
1089,amazon kinesis,SKILL
1090,twitter,SKILL
1091,compiler,SKILL
1092,object model,SKILL
1093,web and video conferencing,SKILL
1094,rule induction,SKILL
1095,accounting,SKILL
1096,pycharm,SKILL
1097,boot2docker,SKILL
1098,optimization problem,SKILL
1099,next.js,SKILL
1100,dokku,SKILL
1101,inkwell,SKILL
1102,library,SKILL
1103,emacs,SKILL
1104,tree automaton,SKILL
1105,feature selection,SKILL
